Truth Cube,,,,,,,,,,,,,,
Uniaxial Compression Test displacment field data for all 4 strains,,,,,,,,,,,,,,
All positions in mm,,,,,,,,,,,,,,
12-Oct-01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
bead nominal location,,,no strain,,,5% strain,,,12.5% strain,,,18.25% strain,,
i,j,k,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
1,1,1,-29.69,-28.86,12.62,-30.33,-29.38,12.96,-31.04,-30.09,13.65,-31.85,-31.08,14.38
1,1,2,-29.07,-27.43,3.33,-29.87,-28.12,4.27,-31.03,-29.37,5.9,-32.29,-30.62,7.05
1,1,3,-28.76,-26.88,-6.49,-29.66,-27.61,-5,-31.17,-29.37,-2.79,-32.62,-30.62,-0.6
1,1,4,-28.91,-27.44,-16.83,-29.87,-28.12,-14.66,-31.36,-29.37,-11.69,-32.84,-30.62,-8.72
1,1,5,-28.95,-26.88,-26.91,-30.06,-26.88,-23.94,-31.41,-28.8,-20.07,-32.89,-30.16,-16.55
1,1,6,-28.76,-26.88,-37.29,-29.87,-26.88,-33.58,-30.99,-28.12,-28.76,-32.47,-29.83,-24.68
1,1,7,-28.76,-26.88,-47.31,-29.91,-26.88,-42.71,-30.62,-28.12,-37.29,-31.7,-29.37,-32.44
1,2,1,-30.16,-18.75,12.43,-30.8,-18.95,12.75,-31.64,-19.37,13.36,-32.56,-19.94,14.04
1,2,2,-29.18,-17.45,3.31,-30.1,-17.76,4.21,-31.4,-18.53,5.44,-32.8,-19.37,6.71
1,2,3,-28.95,-17.5,-6.68,-29.91,-18.12,-5.04,-31.54,-18.75,-2.97,-33.15,-19.83,-0.96
1,2,4,-29.01,-17.4,-16.88,-30.09,-17.49,-14.69,-31.73,-18.12,-11.69,-33.4,-19.37,-8.91
1,2,5,-29.14,-16.88,-26.77,-30.24,-16.88,-23.94,-31.7,-18.12,-20.19,-33.4,-19.37,-16.52
1,2,6,-28.72,-17.45,-37.14,-29.87,-16.88,-33.58,-30.99,-18.12,-28.76,-32.53,-18.61,-24.6
1,2,7,-28.72,-17.33,-47.28,-29.87,-16.88,-42.86,-30.44,-17.37,-37.3,-31.73,-18.12,-32.47
1,3,1,-30.76,-8.13,12.29,-31.53,-8.44,12.73,-32.33,-8.46,13.32,-33.35,-8.75,13.79
1,3,2,-29.22,-6.88,3.07,-30.24,-6.88,3.9,-31.72,-7.39,5.22,-33.17,-7.68,6.53
1,3,3,-29.13,-6.88,-6.87,-30.24,-6.88,-5.38,-31.83,-7.43,-3.2,-33.58,-8.13,-1.3
1,3,4,-29.79,-7.58,-17.02,-31.02,-6.88,-14.69,-32.51,-7.67,-11.73,-34.48,-8.13,-9.05
1,3,5,-28.95,-6.88,-26.91,-29.91,-6.88,-23.97,-31.54,-6.88,-20.22,-33.22,-7.5,-16.7
1,3,6,-28.76,-6.88,-37.29,-29.97,-6.32,-33.7,-30.99,-6.88,-28.95,-32.69,-6.88,-24.72
1,3,7,-28.93,-7.49,-47.15,-29.87,-6.88,-42.86,-30.62,-6.88,-37.29,-31.73,-6.88,-32.47
1,4,1,-30.05,1.33,12.27,-30.75,1.54,12.57,-31.66,1.32,13.16,-32.61,1.31,13.73
1,4,2,-29.5,3.13,3.15,-30.62,3.13,3.9,-31.91,3.13,5.2,-33.39,3.13,6.4
1,4,3,-29.5,3.13,-6.87,-30.62,3.13,-5.38,-32.28,3.13,-3.35,-33.97,3.55,-1.3
1,4,4,-29.1,3.13,-17.22,-30.25,4.38,-14.84,-31.73,4.38,-12.06,-33.54,4.38,-9.24
1,4,5,-29.1,3.13,-26.94,-30.06,3.75,-24.12,-31.53,3.8,-20.36,-33.21,4.38,-16.88
1,4,6,-29.13,3.13,-37.29,-30.22,4.38,-33.92,-31.36,4.38,-29.13,-32.84,4.38,-25.05
1,4,7,-28.87,3.13,-47.5,-29.85,4.38,-43.2,-30.62,4.38,-37.67,-31.73,4.38,-32.84
1,5,1,-30.27,12.52,12.08,-30.95,12.88,12.61,-32.02,13.13,13.1,-32.83,13.44,13.69
1,5,2,-29.74,13.13,3,-30.8,13.75,3.89,-32.14,14.37,5.23,-33.58,14.37,6.49
1,5,3,-29.35,13.13,-6.91,-30.56,13.93,-5.35,-32.13,14.37,-3.19,-33.91,15.05,-1.46
1,5,4,-30.62,13.13,-17.26,-31.73,14.37,-15.03,-33.4,15,-11.87,-35.18,15.62,-9.28
1,5,5,-29.14,13.13,-27.09,-30.24,14.37,-24.31,-31.73,14.87,-20.4,-33.58,15.62,-16.88
1,5,6,-29.08,12.43,-37.47,-30.06,13.82,-33.89,-31.33,14.37,-29.1,-32.84,15.62,-25.05
1,5,7,-28.82,12.57,-47.49,-29.87,14.37,-43.23,-30.56,14.9,-37.71,-31.58,15.62,-32.88
1,6,1,-30.69,23.83,12.29,-31.36,24.37,12.5,-32.3,24.98,13.15,-33.14,25.44,13.74
1,6,2,-30.11,23.12,3,-31.03,23.86,3.95,-32.49,24.81,5.34,-33.96,25.63,6.49
1,6,3,-30.08,22.49,-7.03,-31.17,23.62,-5.39,-32.84,24.37,-3.15,-34.51,25.63,-1.18
1,6,4,-30.24,23.12,-17.26,-31.36,24.37,-15.03,-33.03,25.63,-11.88,-34.74,26.88,-9.24
1,6,5,-29.32,22.63,-27.28,-30.24,24.37,-24.31,-31.84,25.63,-20.41,-33.36,26.88,-16.93
1,6,6,-29.13,23.12,-37.67,-30.24,24.37,-33.96,-31.39,25.63,-29.16,-32.84,26.88,-25.05
1,6,7,-28.72,22.67,-47.65,-29.53,24.37,-43.26,-30.57,25.63,-37.71,-31.73,26.88,-33.21
1,7,1,-30.71,34.08,12.22,-31.29,34.91,12.76,-32.33,35.9,13.3,-33.1,36.51,14.11
1,7,2,-29.89,33.63,3,-30.9,34.79,4.06,-32.25,36.27,5.6,-33.56,37.45,7.15
1,7,3,-29.99,33.13,-7.05,-31.01,34.38,-5.35,-32.66,36.12,-2.79,-34.05,37.56,-0.73
1,7,4,-29.53,33.13,-17.22,-30.68,34.93,-14.85,-32.28,36.87,-11.69,-33.92,38.12,-8.75
1,7,5,-29.5,33.13,-27.28,-30.43,35,-24.12,-31.73,36.87,-20.22,-33.24,38.12,-16.85
1,7,6,-29.5,33.13,-37.67,-30.48,35,-33.81,-31.73,36.87,-29.13,-33.17,38.12,-25.2
1,7,7,-29.32,33.13,-47.69,-30.11,35,-43.38,-31.36,36.87,-37.67,-32.47,38.12,-33.21
2,1,1,-19.25,-29.37,12.58,-19.48,-30.14,12.8,-19.96,-31.14,13.53,-20.28,-32.11,14.23
2,1,2,-19.26,-27.48,3.37,-19.85,-28.12,4.27,-20.56,-29.37,5.6,-21.34,-30.62,6.87
2,1,3,-17.81,-26.88,-6.49,-18.41,-27.46,-5.16,-19.44,-28.91,-3.07,-20.22,-30.62,-0.93
2,1,4,-18.93,-26.88,-16.89,-19.7,-27.56,-14.61,-20.6,-29.37,-11.69,-21.71,-30.62,-8.72
2,1,5,-18.55,-26.88,-26.91,-19.28,-27.49,-23.77,-20.04,-28.88,-19.86,-20.99,-30.62,-16.48
2,1,6,-18.77,-26.88,-36.96,-19.46,-26.88,-33.55,-20.04,-28.12,-28.57,-20.97,-29.37,-24.31
2,1,7,-18.55,-26.88,-47.13,-19.17,-26.32,-42.68,-19.4,-27.38,-37.02,-20.22,-28.12,-32.1
2,2,1,-20.04,-19.37,12.43,-20.4,-19.37,12.71,-20.94,-20,13.21,-21.4,-20.63,13.67
2,2,2,-19.2,-17.62,3.24,-19.73,-18.12,4.05,-20.67,-18.66,5.31,-21.37,-19.37,6.16
2,2,3,-18.62,-16.88,-6.69,-19.14,-16.88,-5.35,-20.22,-18.12,-3.15,-21.34,-19.37,-1.3
2,2,4,-18.77,-18.12,-16.85,-19.48,-18.12,-14.66,-20.45,-18.78,-11.67,-21.62,-19.88,-9
2,2,5,-18.74,-16.88,-26.9,-19.48,-16.88,-23.94,-20.34,-18.12,-20.04,-21.52,-19.37,-16.52
2,2,6,-18.74,-16.88,-37.29,-19.48,-16.88,-33.58,-20.2,-17.33,-28.7,-21.15,-18.12,-24.31
2,2,7,-18.74,-16.88,-46.94,-19.48,-16.88,-42.86,-19.82,-16.88,-36.95,-20.6,-18.12,-32.1
2,3,1,-20.07,-10.05,12.38,-20.49,-10.15,12.61,-21.02,-10.63,13.39,-21.48,-10.63,13.58
2,3,2,-19.2,-6.88,3.24,-19.85,-6.88,3.9,-20.63,-6.88,4.98,-21.67,-7.51,6.14
2,3,3,-19.11,-6.88,-6.87,-19.85,-6.88,-5.38,-20.8,-7.49,-3.36,-21.89,-8.13,-1.55
2,3,4,-19.14,-6.88,-16.92,-19.89,-6.88,-14.69,-21,-6.88,-11.72,-22.26,-7.57,-9.16
2,3,5,-18.74,-6.88,-26.9,-19.49,-6.88,-24.12,-20.25,-6.88,-20.19,-21.67,-7.33,-16.55
2,3,6,-18.93,-6.88,-37.3,-19.6,-6.34,-33.67,-20.22,-6.88,-28.76,-21.34,-6.88,-24.49
2,3,7,-18.73,-7.38,-47.16,-19.31,-6.38,-42.87,-19.83,-6.88,-37.26,-20.41,-6.88,-32.29
2,4,1,-20.78,0.98,12.18,-21.12,1.08,12.52,-21.72,1.11,13.02,-22.27,0.99,13.54
2,4,2,-19.52,3.13,3,-20.2,3.57,3.85,-21.12,3.73,4.86,-22.02,3.75,6.05
2,4,3,-18.77,3.13,-6.83,-19.51,3.13,-5.41,-20.6,3.13,-3.53,-21.68,3.57,-1.71
2,4,4,-19.23,3.13,-17.07,-19.97,3.8,-14.9,-20.99,4.38,-12.03,-22.11,4.38,-9.43
2,4,5,-18.77,3.13,-26.94,-19.67,4.38,-24.31,-20.6,4.38,-20.22,-21.71,4.38,-16.88
2,4,6,-19.11,3.13,-37.29,-19.67,4.38,-33.84,-20.41,4.38,-28.76,-21.52,4.93,-24.75
2,4,7,-19.06,3.59,-47.27,-19.65,4.99,-43.06,-19.85,5.63,-37.29,-20.6,5.63,-32.47
2,5,1,-20.18,11.88,12.38,-20.6,11.88,12.43,-21.23,12.53,13,-21.77,12.65,13.56
2,5,2,-19.85,13.13,3.15,-20.56,14.37,3.87,-21.34,14.37,5.01,-22.27,15,5.94
2,5,3,-19.11,13.13,-6.87,-20.04,14.37,-5.57,-21.14,14.87,-3.53,-22.08,15.62,-1.67
2,5,4,-19.64,13.13,-17.1,-20.41,13.82,-14.96,-21.52,14.37,-12.07,-22.8,15.62,-9.43
2,5,5,-19.11,13.13,-26.9,-19.85,14.37,-24.31,-20.78,15.62,-20.23,-21.89,15.62,-16.89
2,5,6,-19.11,13.13,-37.29,-19.83,14.37,-33.92,-20.41,15.62,-29.14,-21.45,15.62,-24.87
2,5,7,-18.74,13.13,-47.31,-19.46,14.37,-43.2,-19.83,15.62,-37.63,-20.48,15.62,-32.66
2,6,1,-21.15,23.42,12.14,-21.62,23.68,12.66,-22.15,24.37,13.01,-22.75,24.84,13.52
2,6,2,-19.67,23.12,2.97,-20.22,24.37,3.9,-21.28,25.17,4.98,-22.05,25.63,6.09
2,6,3,-19.49,23.12,-7.05,-20.06,24.89,-5.4,-21.16,26.12,-3.53,-22.27,26.88,-1.68
2,6,4,-18.37,23.12,-17.26,-19.11,24.37,-15.03,-20.22,25.63,-12.06,-21.31,26.88,-9.43
2,6,5,-19.09,23.12,-27.24,-19.69,24.89,-24.3,-20.6,26.38,-20.4,-21.7,27.66,-16.92
2,6,6,-19.09,23.12,-37.63,-19.67,24.37,-33.96,-20.43,26.14,-29.15,-21.34,26.88,-25.05
2,6,7,-18.93,22.5,-47.5,-19.51,24.37,-43.26,-20.22,25.63,-37.67,-20.97,26.88,-32.84
2,7,1,-20.73,33.58,12.06,-21.15,34.38,12.52,-21.62,35.31,13.33,-22.14,36.33,14.01
2,7,2,-19.82,33.13,3.12,-20.56,34.38,3.87,-21.34,35.63,5.38,-22.08,37.5,6.68
2,7,3,-19.69,33.74,-7.03,-20.6,35.63,-5.38,-21.68,36.87,-3.12,-22.6,38.77,-1.08
2,7,4,-19.11,33.13,-17.26,-19.86,35.63,-14.84,-20.97,36.87,-11.69,-22.08,38.88,-8.92
2,7,5,-19.46,33.13,-27.24,-19.88,35.63,-24.27,-20.97,36.87,-20.22,-21.92,38.76,-16.72
2,7,6,-19.46,33.13,-37.63,-20.04,34.87,-33.96,-20.94,36.87,-29.1,-21.74,38.12,-25.01
2,7,7,-19.11,33.13,-47.69,-19.72,35,-43.38,-20.38,36.87,-37.63,-20.97,38.12,-32.84
3,1,1,-8.61,-28.92,12.85,-8.73,-29.37,12.99,-8.91,-30.62,13.54,-8.97,-31.39,14.26
3,1,2,-8.78,-26.88,3.58,-9.1,-28.12,4.08,-9.28,-29.37,5.38,-9.6,-30.63,6.52
3,1,3,-8.54,-26.88,-6.61,-8.91,-27.5,-5.2,-9.12,-29.37,-2.82,-9.8,-30.62,-0.96
3,1,4,-8.73,-26.88,-16.7,-8.92,-27.63,-14.66,-9.44,-29.37,-11.65,-9.84,-30.62,-8.91
3,1,5,-8.35,-26.88,-26.9,-8.72,-26.88,-23.94,-8.91,-28.68,-19.92,-9.46,-30.62,-16.51
3,1,6,-8.57,-26.88,-37.09,-8.75,-26.88,-33.24,-9.03,-28.58,-28.42,-9.48,-30.17,-24.27
3,1,7,-8.72,-26.88,-46.94,-9.09,-26.88,-42.49,-8.91,-27.69,-36.79,-9.28,-28.75,-31.91
3,2,1,-8.91,-19.96,12.66,-9.04,-20.13,12.87,-9.24,-20.95,13.29,-9.32,-21.48,13.9
3,2,2,-9.12,-16.88,3.19,-9.43,-17.4,4.04,-9.72,-18.12,5.19,-10.02,-19.37,6.12
3,2,3,-8.69,-16.88,-6.53,-9.07,-16.88,-5.35,-9.46,-18.12,-3.15,-9.83,-19.37,-1.3
3,2,4,-8.93,-17.49,-16.72,-9.32,-17.46,-14.8,-9.81,-18.12,-11.65,-10.21,-19.37,-8.91
3,2,5,-8.69,-16.88,-26.87,-8.91,-16.88,-23.94,-9.24,-17.48,-20.01,-9.82,-18.64,-16.35
3,2,6,-8.73,-16.88,-37.11,-8.81,-16.88,-33.5,-8.94,-17.62,-28.4,-9.47,-18.64,-24.14
3,2,7,-8.72,-16.88,-46.94,-9.01,-16.37,-42.76,-8.91,-16.88,-36.92,-9.24,-17.52,-31.88
3,3,1,-8.58,-8.98,12.6,-8.84,-9.02,12.62,-8.91,-9.38,13.17,-9.24,-9.38,13.59
3,3,2,-9.09,-6.88,3.15,-9.46,-6.88,3.9,-9.81,-7.32,5,-10.21,-8.13,6.12
3,3,3,-8.98,-6.88,-6.69,-9.28,-6.88,-5.39,-9.83,-6.88,-3.53,-10.39,-7.5,-1.67
3,3,4,-9.07,-6.88,-16.85,-9.21,-6.88,-14.85,-9.8,-6.88,-11.72,-10.4,-7.63,-9.1
3,3,5,-8.91,-6.88,-26.91,-9.28,-5.63,-24.12,-9.63,-6.26,-20.06,-10.21,-6.88,-16.51
3,3,6,-9.07,-6.88,-37.26,-9.3,-6.14,-33.59,-9.47,-6.38,-28.58,-10.02,-6.88,-24.31
3,3,7,-8.68,-7.45,-47.1,-9.09,-6.88,-42.86,-9.09,-6.88,-36.92,-9.46,-6.88,-32.1
3,4,1,-10.39,1.88,12.43,-10.43,1.88,12.66,-10.75,1.88,13.08,-11.1,1.88,13.5
3,4,2,-9.31,3.13,3.11,-9.58,3.13,3.71,-10.02,3.13,4.75,-10.54,3.57,5.78
3,4,3,-10.17,4.38,-6.9,-10.58,4.38,-5.57,-10.95,4.38,-3.71,-11.66,4.88,-1.96
3,4,4,-9.09,3.13,-16.88,-9.3,3.69,-14.9,-9.84,4.38,-11.87,-10.55,4.38,-9.43
3,4,5,-8.69,3.13,-26.94,-9.07,4.38,-24.27,-9.28,4.38,-20.23,-9.86,4.38,-16.85
3,4,6,-9.09,3.13,-37.29,-9.41,4.38,-33.77,-9.46,4.38,-28.76,-10.02,4.38,-24.49
3,4,7,-8.87,3.13,-47.17,-9.09,4.38,-43.05,-9.07,4.38,-37.26,-9.44,4.83,-32.16
3,5,1,-10.03,12.65,12.27,-10.21,13.13,12.43,-10.44,13.13,12.95,-10.64,13.47,13.41
3,5,2,-9.46,13.13,3.15,-9.84,13.62,3.72,-10.21,14.37,4.82,-10.58,14.37,5.75
3,5,3,-9.09,13.13,-6.87,-9.46,14.37,-5.57,-10.02,15.62,-3.53,-10.39,15.62,-1.86
3,5,4,-9.44,13.13,-17.22,-9.81,14.37,-14.99,-10.33,14.9,-12.06,-10.95,15.62,-9.46
3,5,5,-9.46,13.88,-27.08,-9.81,15.62,-24.27,-10.04,16.26,-20.39,-10.95,16.88,-16.88
3,5,6,-9.09,13.13,-37.29,-9.44,14.37,-33.92,-9.47,15.62,-28.95,-10.21,15.62,-24.68
3,5,7,-8.72,13.13,-47.31,-8.98,14.37,-43.05,-8.91,15.62,-37.29,-9.31,15.62,-32.51
3,6,1,-10.44,22.78,12.12,-10.76,23.12,12.43,-11.01,23.75,12.98,-11.25,24.37,13.54
3,6,2,-9.44,23.12,2.82,-9.65,24.37,3.9,-10.17,25.63,4.98,-10.39,26.18,6.05
3,6,3,-9.12,23.12,-6.9,-9.47,24.37,-5.57,-10.02,25.63,-3.53,-10.58,26.88,-1.67
3,6,4,-9.46,23.12,-17.26,-9.65,24.37,-15.03,-10.14,26.32,-12.01,-10.76,27.5,-9.28
3,6,5,-9.12,23.12,-27.24,-9.64,24.87,-24.31,-10.01,26.38,-20.22,-10.6,28.12,-16.85
3,6,6,-9.07,23.12,-37.63,-9.28,25,-33.77,-9.49,26.88,-29.1,-10.04,27.51,-24.88
3,6,7,-9.09,23.12,-47.31,-9.48,25.16,-43.18,-9.47,26.37,-37.45,-9.84,26.88,-32.66
3,7,1,-11.04,33.8,12.08,-11.32,34.38,12.62,-11.54,35.63,13.13,-11.77,36.57,13.72
3,7,2,-9.47,33.13,2.97,-9.78,34.38,4.08,-10.21,36.87,5.38,-10.43,38.12,6.53
3,7,3,-9.28,34.38,-6.87,-9.65,35.63,-5.38,-10.02,37.63,-3.15,-10.58,39.38,-0.93
3,7,4,-9.46,33.13,-17.26,-10.02,35,-14.84,-10.54,36.87,-11.72,-11.09,38.85,-9.06
3,7,5,-9.09,33.13,-27.28,-9.47,35.63,-24.12,-9.96,37.42,-20.13,-10.55,39.38,-16.85
3,7,6,-8.72,33.13,-37.67,-8.91,35,-33.77,-9.21,36.87,-28.95,-9.65,38.68,-24.75
3,7,7,-9.42,33.13,-47.53,-9.82,35.2,-43.23,-9.79,36.87,-37.45,-10.21,38.12,-32.66
4,1,1,2.3,-28.71,12.63,2.37,-29.37,12.95,2.37,-30.11,13.5,2.48,-31.18,14.28
4,1,2,0.78,-26.88,3.48,0.93,-28.12,4.27,0.81,-29.37,5.56,0.93,-30.62,6.87
4,1,3,2.04,-26.88,-6.49,2.22,-27.63,-5.01,2.41,-29.37,-2.78,2.44,-30.62,-0.96
4,1,4,1.31,-27.37,-16.65,1.48,-28.12,-14.66,1.67,-29.37,-11.32,1.8,-31.34,-8.76
4,1,5,1.64,-26.88,-26.57,1.67,-27.37,-23.75,2.01,-28.92,-19.79,2.04,-30.62,-16.14
4,1,6,1.48,-26.88,-36.93,1.67,-26.88,-33.21,2.04,-28.12,-28.2,2,-30.18,-23.97
4,1,7,1.48,-26.88,-46.94,1.67,-26.88,-42.49,2.23,-27.5,-36.56,2.23,-28.12,-31.61
4,2,1,2.04,-20,12.62,2.04,-20.63,12.8,2.08,-20.63,13.32,2.23,-21.63,13.91
4,2,2,0.96,-16.88,3.49,1.09,-17.51,4.07,1.27,-18.12,5.35,1.27,-19.37,6.16
4,2,3,2.41,-16.88,-6.49,2.6,-16.88,-5.2,2.78,-18.12,-3.15,2.97,-19.37,-1.3
4,2,4,0.95,-16.88,-16.85,0.95,-16.88,-14.62,1.29,-18.12,-11.5,1.29,-18.88,-8.9
4,2,5,1.64,-16.88,-26.87,1.54,-16.35,-23.95,2.01,-16.88,-19.82,2.01,-18.12,-16.17
4,2,6,1.33,-16.88,-36.95,1.55,-16.88,-33.4,1.85,-17.57,-28.32,1.86,-18.68,-23.87
4,2,7,0.93,-16.88,-46.94,1.11,-16.18,-42.56,1.67,-16.88,-36.55,1.64,-16.88,-31.69
4,3,1,1.3,-9.38,12.43,1.45,-9.38,12.76,1.45,-9.38,13.13,1.66,-10.02,13.67
4,3,2,1.04,-6.88,3.33,1.3,-6.88,3.9,1.27,-6.88,5.04,1.29,-8.13,6.05
4,3,3,2.01,-6.88,-6.83,2.04,-6.88,-5.38,2.23,-6.88,-3.53,2.41,-8.13,-1.67
4,3,4,0.58,-6.88,-16.85,0.59,-6.88,-14.69,0.9,-6.88,-11.72,0.93,-8.13,-9.09
4,3,5,1.3,-6.88,-26.9,1.48,-5.63,-23.94,1.68,-6.14,-20.02,1.67,-6.88,-16.51
